AllPunc,Apostro,Colon,Comma,Dash,Exclam,OtherP,Parenth,Period,QMark,Quote,SemiC,achieve,adj,adverb,affect,affiliation,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogproc,compare,conj,death,differ,discrep,drives,family,feel,female,filler,focusfuture,focuspast,focuspresent,friend,function,health,hear,home,i,informal,ingest,insight,interrog,ipron,leisure,male,money,motion,negate,negemo,netspeak,nonflu,number,party,percept,posemo,power,ppron,prep,pronoun,quant,relativ,relig,reward,risk,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
0.14126807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14126807,0.0,0.0,0.0,0.024471635,0.031145718,0.03003337,0.0567297,0.047830924,0.002224694,0.0,0.043381535,0.0033370412,0.0567297,0.0055617355,0.0,0.017797552,0.0189099,0.08008899,0.015572859,0.040044494,0.0,0.016685206,0.013348165,0.13125695,0.011123471,0.001112347,0.0033370412,0.0,0.0100111235,0.024471635,0.08231368,0.0033370412,0.40489432,0.004449388,0.002224694,0.0100111235,0.020022247,0.011123471,0.001112347,0.013348165,0.015572859,0.032258064,0.0144605115,0.0100111235,0.0144605115,0.0189099,0.011123471,0.011123471,0.0077864295,0.002224694,0.013348165,democrats,0.013348165,0.04560623,0.05561735,0.0778643,0.13125695,0.11012236,0.015572859,0.1134594,0.0066740825,0.015572859,0.0055617355,0.004449388,0.0100111235,0.0,0.0066740825,0.11902113,0.06006674,0.0,0.015572859,0.0033370412,0.035595104,0.11457174,0.020022247,0.0378198,0.027808676
0.14814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14814815,0.0,0.0,0.0,0.03125,0.041666668,0.024305556,0.081018515,0.03935185,0.010416667,0.0,0.04398148,0.0023148148,0.04398148,0.005787037,0.0011574074,0.016203703,0.015046297,0.065972224,0.020833334,0.028935185,0.0011574074,0.011574074,0.010416667,0.1400463,0.0,0.0011574074,0.005787037,0.0,0.009259259,0.012731481,0.061342593,0.0023148148,0.3726852,0.0046296297,0.005787037,0.0046296297,0.008101852,0.0069444445,0.0,0.009259259,0.013888889,0.019675925,0.0011574074,0.0069444445,0.008101852,0.020833334,0.009259259,0.020833334,0.0034722222,0.0023148148,0.018518519,democrats,0.013888889,0.05787037,0.061342593,0.07060185,0.15162037,0.090277776,0.013888889,0.1099537,0.008101852,0.024305556,0.013888889,0.0023148148,0.0069444445,0.0,0.008101852,0.11921296,0.06365741,0.0,0.011574074,0.0046296297,0.033564813,0.10185185,0.026620371,0.038194444,0.023148147
0.07605985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07605985,0.0,0.0,0.0,0.017456358,0.061097257,0.012468828,0.061097257,0.04987531,0.0,0.0,0.04987531,0.0024937657,0.037406486,0.0049875313,0.0,0.012468828,0.0074812965,0.04987531,0.018703243,0.028678304,0.0,0.011221945,0.0074812965,0.119700745,0.006234414,0.0,0.012468828,0.0,0.0024937657,0.017456358,0.07855362,0.0,0.35910225,0.0024937657,0.008728179,0.0012468828,0.016209476,0.0037406483,0.0,0.009975063,0.0037406483,0.011221945,0.018703243,0.019950125,0.009975063,0.0074812965,0.0074812965,0.0012468828,0.0012468828,0.0,0.021197008,democrats,0.019950125,0.059850372,0.04488778,0.0798005,0.15087281,0.09102245,0.012468828,0.13466334,0.0,0.021197008,0.0012468828,0.0012468828,0.009975063,0.0012468828,0.014962593,0.11845387,0.06608479,0.0,0.008728179,0.0037406483,0.061097257,0.097256854,0.021197008,0.0361596,0.023690773
0.12431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12431694,0.0,0.0,0.0,0.024590164,0.05464481,0.013661202,0.068306014,0.05327869,0.0013661202,0.0,0.05327869,0.0027322404,0.039617486,0.0054644807,0.0,0.0040983604,0.016393442,0.05464481,0.013661202,0.023224045,0.0013661202,0.013661202,0.012295082,0.14617486,0.0027322404,0.0,0.009562842,0.0,0.010928961,0.015027323,0.08743169,0.0013661202,0.34699455,0.0040983604,0.0013661202,0.0054644807,0.012295082,0.0027322404,0.0013661202,0.006830601,0.0027322404,0.013661202,0.017759563,0.0027322404,0.017759563,0.021857923,0.009562842,0.006830601,0.0,0.0,0.013661202,democrats,0.010928961,0.06147541,0.06147541,0.06010929,0.15163934,0.07377049,0.020491803,0.12568305,0.0040983604,0.016393442,0.006830601,0.0027322404,0.009562842,0.0,0.0,0.09836066,0.06557377,0.0,0.0054644807,0.0027322404,0.035519127,0.10382514,0.030054646,0.06557377,0.015027323
0.08439647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08439647,0.0,0.0,0.0,0.038272817,0.047105003,0.011776251,0.0686948,0.06378803,0.008832188,0.003925417,0.051030423,0.0009813543,0.051030423,0.011776251,0.0,0.010794897,0.022571148,0.06575073,0.021589793,0.014720314,0.0009813543,0.010794897,0.01373896,0.14524043,0.0058881254,0.0019627085,0.0029440627,0.0,0.01373896,0.024533857,0.07556428,0.0029440627,0.37095192,0.011776251,0.0058881254,0.0098135425,0.024533857,0.003925417,0.0,0.014720314,0.008832188,0.023552502,0.01373896,0.007850834,0.010794897,0.021589793,0.003925417,0.023552502,0.0029440627,0.0,0.016683023,democrats,0.012757606,0.043179587,0.040235527,0.07163886,0.15701668,0.09519137,0.018645732,0.14720315,0.0058881254,0.02060844,0.010794897,0.003925417,0.0049067712,0.0,0.0049067712,0.10107949,0.06771345,0.0,0.0029440627,0.0029440627,0.057899904,0.11089303,0.0343474,0.056918547,0.0049067712
0.104477614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104477614,0.0,0.0,0.0,0.04477612,0.039179105,0.024253732,0.08955224,0.050373133,0.01119403,0.0027985075,0.05597015,0.0,0.048507463,0.010261194,0.0018656716,0.01772388,0.005597015,0.05597015,0.018656716,0.027052239,0.0027985075,0.006529851,0.012126866,0.14925373,0.004664179,0.0027985075,0.0027985075,0.0,0.019589553,0.01772388,0.09235074,0.0009328358,0.38432837,0.005597015,0.006529851,0.009328358,0.014925373,0.0027985075,0.0018656716,0.013992538,0.005597015,0.026119404,0.012126866,0.004664179,0.014925373,0.015858209,0.0018656716,0.021455225,0.0,0.0018656716,0.023320895,democrats,0.016791046,0.06716418,0.050373133,0.063432835,0.15298508,0.08955224,0.013992538,0.13059701,0.006529851,0.027985075,0.008395523,0.0037313432,0.006529851,0.0,0.005597015,0.0988806,0.05783582,0.0009328358,0.008395523,0.006529851,0.0625,0.108208954,0.026119404,0.04291045,0.010261194
0.17840806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17840806,0.0,0.0,0.0,0.021957913,0.015553523,0.024702653,0.033851784,0.028362306,0.0036596523,0.0018298262,0.07410796,0.0009149131,0.053979874,0.021957913,0.0009149131,0.013723697,0.014638609,0.061299175,0.010064044,0.021957913,0.0036596523,0.0073193046,0.010978957,0.10338518,0.0009149131,0.0018298262,0.0027447392,0.0,0.010064044,0.026532479,0.08600183,0.0054894784,0.38334858,0.012808783,0.004574565,0.0064043915,0.01189387,0.0036596523,0.010064044,0.013723697,0.014638609,0.030192131,0.008234218,0.00914913,0.008234218,0.010978957,0.004574565,0.012808783,0.0018298262,0.0009149131,0.019213175,democrats,0.01829826,0.021043,0.049405307,0.04666057,0.14638609,0.0768527,0.010064044,0.117108874,0.0,0.0064043915,0.0064043915,0.004574565,0.01189387,0.0,0.0073193046,0.08508692,0.063129,0.0,0.008234218,0.0054894784,0.04483074,0.11070448,0.012808783,0.05672461,0.00914913
0.17982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17982456,0.0,0.0,0.0,0.025438596,0.03245614,0.01491228,0.044736844,0.03508772,0.005263158,0.004385965,0.07807018,0.0,0.06315789,0.00877193,0.001754386,0.013157895,0.010526316,0.069298245,0.013157895,0.02982456,0.004385965,0.019298246,0.0114035085,0.118421055,0.005263158,0.001754386,0.004385965,0.0,0.007894737,0.025438596,0.07982456,0.002631579,0.3885965,0.006140351,0.006140351,0.010526316,0.009649123,0.002631579,0.000877193,0.015789473,0.007017544,0.023684211,0.013157895,0.002631579,0.012280702,0.01754386,0.009649123,0.01754386,0.002631579,0.0,0.023684211,democrats,0.01491228,0.027192982,0.045614034,0.042982455,0.14561403,0.06666667,0.00877193,0.1377193,0.001754386,0.013157895,0.01754386,0.005263158,0.006140351,0.001754386,0.006140351,0.08070175,0.069298245,0.0,0.0114035085,0.007017544,0.051754385,0.120175436,0.013157895,0.057017542,0.007017544
0.17372881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17372881,0.0,0.0,0.0,0.027118644,0.033898305,0.024576271,0.065254234,0.03559322,0.0059322035,0.0033898305,0.06864407,0.0,0.047457628,0.010169491,0.0025423728,0.011864407,0.011864407,0.060169492,0.013559322,0.033050846,0.0033898305,0.012711864,0.006779661,0.119491525,0.0050847456,0.0025423728,0.009322034,0.0,0.01440678,0.01779661,0.062711865,0.0059322035,0.39322034,0.0033898305,0.009322034,0.008474576,0.016101696,0.004237288,0.004237288,0.013559322,0.011016949,0.018644068,0.010169491,0.015254238,0.011864407,0.010169491,0.0059322035,0.018644068,0.0033898305,0.0008474576,0.022881355,democrats,0.023728814,0.04661017,0.049152542,0.055084746,0.15254237,0.073728815,0.013559322,0.12288135,0.0033898305,0.01779661,0.011016949,0.0050847456,0.010169491,0.0,0.015254238,0.10508475,0.06610169,0.0,0.009322034,0.0050847456,0.04661017,0.09067797,0.012711864,0.06101695,0.0059322035
0.1604033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604033,0.0,0.0,0.0,0.015582035,0.043996334,0.027497709,0.042163152,0.019248396,0.007332722,0.0009165903,0.07332722,0.0,0.055912007,0.009165903,0.0,0.013748854,0.007332722,0.06049496,0.021081576,0.041246563,0.0054995418,0.015582035,0.010082494,0.09257562,0.0054995418,0.0018331805,0.0119156735,0.0,0.014665444,0.021081576,0.07332722,0.0009165903,0.3950504,0.006416132,0.009165903,0.0109990835,0.013748854,0.0027497709,0.0018331805,0.0109990835,0.007332722,0.021998167,0.008249313,0.013748854,0.013748854,0.015582035,0.0045829513,0.018331805,0.0027497709,0.0,0.016498625,democrats,0.019248396,0.023831347,0.046746105,0.050412465,0.13840513,0.072410636,0.012832264,0.13290559,0.0027497709,0.0054995418,0.0109990835,0.006416132,0.007332722,0.0018331805,0.014665444,0.08157653,0.06874427,0.0,0.006416132,0.007332722,0.053162236,0.1136572,0.0109990835,0.043079745,0.003666361
