,created_at,full_text,party,screen_name
37,Thu Oct 25 20:52:43 +0000 2018,"Comstock Receives Award for Manufacturing Legislative Excellence #VA10
https://t.co/jU0Ad16ixY https://t.co/pmICszTE8a",republicans,RepComstock
38,Wed Oct 24 21:41:38 +0000 2018,I got to speak with NIH Director Collins about the research that NIH is doing on non-opioid alternatives and the increased funding we provided for it. #VA10,republicans,RepComstock
39,Wed Oct 24 21:41:38 +0000 2018,"...as a part of H.R. 6 are provisions of my bill, H.R. 5473, the Better Pain Management Through Better Data Act.  to facilitate better clinical data and standards on non-opioid alternatives. #VA10",republicans,RepComstock
40,Wed Oct 24 21:41:37 +0000 2018,"I have advocated for Fed. policies that support our local law enforcement, healthcare treatment providers, and help address the root cause of this epidemic. Congress appropriated unprecedented funding of $6 billion this year to address this public health crisis and included #VA10 https://t.co/gBI92wTZkD",republicans,RepComstock
41,Wed Oct 24 21:41:36 +0000 2018,"Cabinet Members and Administration officials. This is the culmination of years of work by thousands of people to address our nation’s opioid crisis. As a member of the Bipartisan Heroin Task Force, #VA10 https://t.co/cwOYgn7Gfj",republicans,RepComstock
42,Wed Oct 24 21:41:36 +0000 2018,"At the WH today with President Trump and the First Lady for the bill signing of H.R. 6, the SUPPORT Patients and Communities Act. I joined a bipartisan group of U.S. Senators, Members of Congress, @NIHDirector Francis Collins, @LoudounSheriff Mike Chapman and other...#VA10 https://t.co/6akRYZomUu",republicans,RepComstock
43,Wed Oct 24 19:00:28 +0000 2018,No matter if you are a Democrat Republican or Independent we are all Americans and an attack targeting one is an attack on all.  #VA10,republicans,RepComstock
44,Wed Oct 24 03:47:45 +0000 2018,"This Saturday is Prescription Drug Take Back Day where there will be an opportunity to dispose of unused medications.  

For more information on Prescription Drug Take Back Day and to find a location near you, see here: https://t.co/WiIR1Bsixp #VA10",republicans,RepComstock
45,Wed Oct 24 03:47:45 +0000 2018,Opioid addiction has taken the lives of too many in our communities.  Addictions can often begin with unused or unfinished prescription medications that are abused and it is critical that these medications are disposed of properly.,republicans,RepComstock
46,Tue Oct 23 01:00:45 +0000 2018,"WSJ: ""A plenitude of jobs and a gradual rise in wages is drawing women back into the labor force, including those at the low end of the skill spectrum.""  #VA10
https://t.co/Eg3hCUiQ1q",republicans,RepComstock
47,Mon Oct 22 21:30:28 +0000 2018,"Met with John Langford, President, CEO, and Founder of Aurora Flight Sciences and his team who are developing cutting edge technologies right here in Manassas thanks to the Research and Development tax credit being made permanent in 2017. #VA10 https://t.co/R5yWagMYE1",republicans,RepComstock
48,Sun Oct 21 14:50:01 +0000 2018,"As Pastor Spurlock said, “God has blessed Oak Grove to be a strong tower where the righteous are afforded the opportunity to run in and feel the security of being saved insomuch that they can serve unapologetically and unashamedly.” #VA10 https://t.co/qqp6t3DIIU",republicans,RepComstock
49,Sun Oct 21 14:50:00 +0000 2018,"It was an honor to join them on this historic occasion. Oak Grove was founded by former slaves in 1868 at the end of the Civil War and has been serving the faithful and enriching, enlightening, and serving our community since. #VA10 https://t.co/U3qIsMtddS",republicans,RepComstock
50,Sun Oct 21 14:49:59 +0000 2018,It was a joyful day yesterday with Pastor and Lady Spurlock and their church family in an inspiring celebration of the 150th Anniversary of Sterling’s Oak Grove Baptist Church. #VA10 https://t.co/A5whKW2kOu,republicans,RepComstock
51,Fri Oct 19 21:45:04 +0000 2018,"to work together to detect and deter hate crimes. The resolution also calls on federal law enforcement, working with state and local officials, to investigate all credible reports of hate crime occurrences in the U.S. hold perpetrators accountable, and bring them to justice #VA10 https://t.co/OguSgOrIWG",republicans,RepComstock
52,Fri Oct 19 21:45:03 +0000 2018,"This resolution also calls for the Department of Justice to improve hate crime reporting and create an inter-agency task force between the Departments of Justice, Homeland Security, Education, State, the FBI and the Office of the Director of National Intelligence... #VA10 https://t.co/rNiecGhle5",republicans,RepComstock
53,Fri Oct 19 21:45:02 +0000 2018,"was passed in the U.S. Senate championed by Senators Marco Rubio (R-FL) and Kamala Harris (D-CA). Since 2014 there has been an increase in hate crimes against Muslims, Jews, Sikhs, African Americans and other minority or ethnic groups. @ADAMSCenter_ #VA10 https://t.co/BjNfgIJsV0",republicans,RepComstock
54,Fri Oct 19 21:45:02 +0000 2018,Today I joined Imam Mohamed Magid and presented the @ADAMSCenter_ Center a copy of my bipartisan Hate Crimes Resolution that passed in the House this summer. I partnered with my friend Congresswoman Debbie Dingell (D-MI) on this important resolution and a similar resolution #VA10 https://t.co/N6KG5IY7QA,republicans,RepComstock
55,Fri Oct 19 18:08:25 +0000 2018,"with a total annual economic impact of nearly $697 million. Additionally, the film industry supported nearly 4,300 full-time jobs and provided more than $27 million in state and local taxes in 2016. #VA10 https://t.co/4VHz4ml9d1",republicans,RepComstock
56,Fri Oct 19 18:08:22 +0000 2018,"join in support of this celebration of the arts in our region.  Over the weekend there will be film screenings followed by panel discussions with filmmakers, actors and more. The Commonwealth’s film production industry is a fast-growing sector of the Virginia economy... https://t.co/VXB2xHA5PN",republicans,RepComstock
57,Fri Oct 19 18:08:20 +0000 2018,"This festival has become world renowned and is already one of the top ten in the world -- right in the 10th District!  This is a big economic driver to the region, centered at Sheila’s Salamander Resort, and complemented by local restaurants, wineries, and shops that all... https://t.co/8QunrKcHPA",republicans,RepComstock
58,Fri Oct 19 18:08:16 +0000 2018,"Joined Middleburg Film Festival Founder and entrepreneur, Sheila Johnson, Executive Director of the Festival, Susan Koch, Honorary Chairs, Gary and Tina Mather, and Board Members and supporters for the kickoff of the 6th annual Middleburg Film Festival – a 4 day festival. https://t.co/6ObjnlTQUE",republicans,RepComstock
59,Fri Oct 19 00:08:13 +0000 2018,We secured $10 million for 2019 appropriations for these space launch range services. #VA10 https://t.co/Ly0DnJWPaL,republicans,RepComstock
60,Fri Oct 19 00:08:13 +0000 2018,"Congratulations to NASA’s Wallops Flight Facility in Virginia that has been chosen by Rocket Lab for its MARS US launch site. As a part of its efforts, the launch site will be serviced by aerospace companies in Northern Virginia including Northrop Grumman.",republicans,RepComstock
61,Wed Oct 17 15:40:28 +0000 2018,"disorder and mental health services. We all have a role to play in responding to this public health crisis, and tonight’s programs brought together a broad cross section of the people engaged in tackling this crisis. #VA10 https://t.co/Cwd4QtJtcf",republicans,RepComstock
62,Wed Oct 17 15:40:28 +0000 2018,"when considering treatment routes. Virginia also received a Health Resources and Services Administration grant for over $6 million which will enable 25 community health centers, academic institutions, and rural organizations to expand access to integrated substance use...",republicans,RepComstock
63,Wed Oct 17 15:40:28 +0000 2018,"prescribed, lowering the rate of addiction. Due to the risks inherent in opioid use, medical use of opioids should be a decision that is made with great care and this bill will better inform this decision so patients and doctors have the best available data at their fingertips...",republicans,RepComstock
64,Wed Oct 17 15:40:28 +0000 2018,"law enforcement assistance and Narcan programs and more. I discussed my legislation, the Better Pain Management Through Better Data Act, which will facilitate better clinical data on non-opioid alternatives so doctors have more prescribing options and fewer opioids are...",republicans,RepComstock
65,Wed Oct 17 15:40:28 +0000 2018,"I shared initiatives passed by Congress to address this epidemic including my efforts to increase funding for the High Intensity Drug Trafficking Area program and the $4 billion Congress has appropriated to address the opioid epidemic to provide education, treatment,",republicans,RepComstock
66,Wed Oct 17 15:40:27 +0000 2018,"Michelle Petruzzello of Loudoun County Mental Health and Substance Abuse, and Loudoun County Public School's Blaise Carland, a Licensed Clinical Social Worker, to discuss Loudoun's whole-of-government approach to combat heroin overdose and deaths caused by illicit opioids.",republicans,RepComstock
67,Wed Oct 17 15:40:27 +0000 2018,"DEA Special Agent in Charge Washington, DC Division Karl C. Colder, Family Practice Attorney John Whitbeck, Melissa Hinton a Community Recovery Advocate with Project Loudoun Serenity House, Dr. John Morgan, Operational Medical Director, Loudoun County Fire and Rescue,",republicans,RepComstock
68,Wed Oct 17 15:40:27 +0000 2018,"(Heroin Operations Team) with Sheriff Chapman. We were joined by Rick Collette who lost his daughter to an overdose, as well as Baltimore-Washington HIDTA Director Tom Carr, Former DEA Chief of Operations Richard Fiano, Commonwealth's Attorney James Plowman, Former...",republicans,RepComstock
69,Wed Oct 17 15:40:27 +0000 2018,"Last night, I participated in a Forum on the Heroin and Opioid Epidemic hosted by @LoudounSheriff Mike Chapman. This has been a top priority issue for me. Almost four years ago we started our work on this issue and standing up the Loudoun “HOT” Team...",republicans,RepComstock
70,Tue Oct 16 23:15:40 +0000 2018,Glad to see over 80 constituents attend the @LoudounSheriff opioid and heroin forum tonight in Ashburn.  #VA10 https://t.co/hHpmn2PQnU,republicans,RepComstock
71,Tue Oct 16 22:47:07 +0000 2018,Watch @LoudounSheriff forum live on the heroin and opioid epidemic #VA10 https://t.co/QeOly6vMCg,republicans,RepComstock
72,Tue Oct 16 16:54:52 +0000 2018,CNBC: Another great sign for the economy: Job openings hit an all time high in August #VA10 https://t.co/tJngTeTpDD,republicans,RepComstock
73,Tue Oct 16 01:35:03 +0000 2018,"The Vet Center provides certified counseling services for our Veterans, active duty military, and their families with mental health needs. Trained counselors also help with military sexual trauma and substance abuse assessment. #VA10 https://t.co/H8VaOKXez4",republicans,RepComstock
74,Tue Oct 16 01:35:00 +0000 2018,Joined Dr. Heather West and Loudoun Supervisor Tony Buffington at the Vet Center in Leesburg today where we received a briefing on expansion of hours that will take effect early next year. #VA10 https://t.co/lBZH5I6UUB,republicans,RepComstock
75,Mon Oct 15 23:07:42 +0000 2018,RT @rizwanjaka: Oct 14 - Thanks to Dave Stegmaier joining us from Congresswoman Comstock's office and Congresswoman @RepComstock thanks for…,republicans,RepComstock
76,Sun Oct 14 00:19:31 +0000 2018,"Wonderful news today of Pastor Andrew Brunson being released by Turkey after being detained for two years. #VA10 
https://t.co/iIiBOGT1or",republicans,RepComstock
77,Sat Oct 13 20:46:06 +0000 2018,and came home where he saved enough money to buy the Triangle Grocery Store in Dranesville. Harry went on to be a successful small businessman who gave back to his community and sponsored numerous little league teams. #VA10 https://t.co/96DaSEmEnC,republicans,RepComstock
78,Sat Oct 13 20:03:16 +0000 2018,It was an honor to celebrate the 90th birthday of one of my favorite constituents Harry Saville with dozens of his family and friends. Harry is a pillar within our community who served his country in the Korean War...#VA10 https://t.co/BFbkmduRRc,republicans,RepComstock
79,Sat Oct 13 19:46:29 +0000 2018,"Comstock Statement on Bill Woolf Being Presented With Presidential Award For His Work Fighting Human Trafficking #VA10 
https://t.co/UF9tv6EFSs https://t.co/iWVDWgCq3g",republicans,RepComstock
80,Sat Oct 13 18:58:45 +0000 2018,Our office hosted Mobile Office Hours at the Purcellville Tag Sale today to answer questions about federal agencies and about how we are working to serve you in Congress. https://t.co/vr6rOaeXjq,republicans,RepComstock
81,Sat Oct 13 15:12:23 +0000 2018,Happy 243rd birthday to our @USNavy! https://t.co/SL4p0j8oSS,republicans,RepComstock
82,Sat Oct 13 13:16:12 +0000 2018,RT @RichardGrenell: I welcomed Pastor Brunson &amp; his wife to Germany on their refueling stop. He’s almost home thanks to @realDonaldTrump.…,republicans,RepComstock
83,Sat Oct 13 01:47:24 +0000 2018,summer program located at the Udvar-Hazy Center in Chantilly that is for underserved populations to get them engaged in STEM. #VA10 https://t.co/45uhLCz2Sa,republicans,RepComstock
84,Sat Oct 13 01:47:14 +0000 2018,"National Air and Space Museum gave an update of the renovations that will start in the coming months at the National Air and Space Museum in Washington, DC.  Dr. Stofan is also focused on STEM education for young people and she discussed the National Air and Space Museum...",republicans,RepComstock
85,Sat Oct 13 01:47:13 +0000 2018,"Perimeter rules unchanged, ensuring that the current balance of air traffic between Dulles Airport and Reagan National remains in place and keeping Dulles Airport a great economic engine for our community.  Dr. Ellen Stofan who was recently appointed Director of the...",republicans,RepComstock
86,Sat Oct 13 01:47:13 +0000 2018,competitive with our global counterparts as we look to the future of aviation. This legislation maintains that competitiveness while reinforcing passenger protections so our flight system stays the safest in the world. I fought for and succeeded in keeping Slot and...,republicans,RepComstock
87,Sat Oct 13 01:47:12 +0000 2018,"Joined the Committee for Dulles today where I spoke about the five-year extension to the FAA, which will bring much needed funding and certainty to Dulles airport. This investment in our infrastructure will pay dividends to future generations.  Our aviation community needs to be",republicans,RepComstock
