,created_at,full_text,party,screen_name
38,Tue Dec 11 19:29:36 +0000 2018,"DYK – Americans from #PuertoRico have almost 2x the asthma rate as compared to the overall Hispanic population #LatinoHealth 

#GetCovered by DEC 15 ➡️ 

https://t.co/czduKWbvcM 

https://t.co/UNEsothpCe 

https://t.co/iX5OoilgER",democrats,RepDarrenSoto
39,Tue Dec 11 18:08:09 +0000 2018,Fla had 93 cases of Zika this year. Time to pass our SMASH Act to expand ⁦@CDCgov⁩ grants to stop Zika outbreaks! ⁦@tbtnewspaper⁩ #sayfie ⁦@HouseDemocrats⁩ ⁦@HispanicCaucus⁩ ⁦@HouseNewDems⁩  https://t.co/LaDusuoaIs,democrats,RepDarrenSoto
40,Tue Dec 11 17:11:11 +0000 2018,"RT @brianna_edu: #Rock, #Politics, and #Leanring!🤓
3 of my favorite things all in 1!          👏🏽👏🏽 Love it! @RepDarrenSoto 🤘🏽 https://t.co/…",democrats,RepDarrenSoto
41,Tue Dec 11 16:07:12 +0000 2018,"RT @PRFAA: Given our dire situation, we are asking Congress to extend federal cost share for debris removal and other emergency work (Cat A…",democrats,RepDarrenSoto
42,Tue Dec 11 16:07:07 +0000 2018,RT @PRFAA: We are working to recover from the largest catastrophe in US history. The damage caused by #MariaPR will be 2 to 3 times higher…,democrats,RepDarrenSoto
43,Tue Dec 11 15:11:02 +0000 2018,We @HouseDemocrats are ready to fund gov’t while Trump wants to shut it down over a medieval wall. Check out my @MyNews13 interview. @HispanicCaucus @HispanicFed @latinojustice @AlianzaProgress https://t.co/lqQVAVVCpG,democrats,RepDarrenSoto
44,Mon Dec 10 19:54:04 +0000 2018,@SteveLemongello @garywhite13 For the record: in September we moved from Celebration to the city of Kissimmee! Hope that helps,democrats,RepDarrenSoto
45,Mon Dec 10 19:04:58 +0000 2018,RT @thebeatdc: Congressmen Darren Soto (@RepDarrenSoto) and Ted Budd (@RepTedBudd) intro a bipartisan measure to regulate cryptocurrency. h…,democrats,RepDarrenSoto
46,Sun Dec 09 14:36:45 +0000 2018,"Thanks ⁦@RepDennisRoss⁩ for your service to Central Florida! With friendships and respect, we can always find some common ground to get the job done. https://t.co/IulTSHWimA",democrats,RepDarrenSoto
47,Sun Dec 09 02:15:46 +0000 2018,Con mucho orgullo estoy con mi gente a #DQAwards ! ! ! @HispanicCaucus @HCCMO @HispanicFed https://t.co/g4G60ZMpaR,democrats,RepDarrenSoto
48,Sat Dec 08 19:00:35 +0000 2018,"RT @orlpolitics: Rep. Soto, Members Introduce Bipartisan Bills Preventing Virtual Currency Price Manipulation https://t.co/WjEoMiQgXj",democrats,RepDarrenSoto
49,Sat Dec 08 03:00:01 +0000 2018,"RT @CryptoInsiderHQ: Yesterday, US Congressmen @RepDarrenSoto and @RepTedBudd proposed new legislation to “help prevent” manipulation of di…",democrats,RepDarrenSoto
50,Sat Dec 08 02:59:54 +0000 2018,RT @FPizarro_DC: House Democrats demand investigation into @DHSgov use of tear gas against migrants at the US Border .@NormaJTorres @RepJua…,democrats,RepDarrenSoto
51,Fri Dec 07 15:27:25 +0000 2018,"RT @Solidus_Labs: According to @RepDarrenSoto &amp; @RepTedBudd, the bills, which call @CFTC to provide roadmap to tackle the issue, ""are aimed…",democrats,RepDarrenSoto
52,Fri Dec 07 15:26:47 +0000 2018,"RT @FS_Vector: Thank you, @RepDarrenSoto + @RepTedBudd, for your leadership on #DigitalAssets + #blockchain! FS Vector's @JohnCollins react…",democrats,RepDarrenSoto
53,Fri Dec 07 02:51:40 +0000 2018,RT @BlockchainAssn: Thanks @RepDarrenSoto and @RepTedBudd for your continued interest and leadership on these issues. We agree that we need…,democrats,RepDarrenSoto
54,Thu Dec 06 20:55:00 +0000 2018,RT @DigitalChamber: We are pleased to support the work of Congressmen @RepDarrenSoto and @RepTedBudd to promote the orderly development of…,democrats,RepDarrenSoto
55,Thu Dec 06 15:31:03 +0000 2018,"RT @FIUdc: Early morning @FloridaHouseDC was one to remember, honoring the Nelsons. @SenBillNelson &amp; Grace Nelson for their great work for…",democrats,RepDarrenSoto
56,Thu Dec 06 15:30:32 +0000 2018,"Con mucho orgullo, I attended @smithsonian #LatinoCenter grand opening to celebrate our history &amp; culture! It’s a key step towards starting Museum of Hispanic/Latino American History. https://t.co/YZMThHBa3a",democrats,RepDarrenSoto
57,Wed Dec 05 23:27:46 +0000 2018,Today I attended the funeral of President George H. W. Bush at Washington National Cathedral to pay my respects. https://t.co/a4DJaRMqqP,democrats,RepDarrenSoto
58,Tue Dec 04 15:45:06 +0000 2018,First they did it in NC. Now GOP lawmakers try to strip powers of incoming Dem Govs in MI and WI. What a disgrace to democracy! ⁦@USProgressives⁩ ⁦@HispanicCaucus⁩  https://t.co/CuRsGyvpQW,democrats,RepDarrenSoto
59,Mon Dec 03 23:25:07 +0000 2018,Excited to meet with @MomsDemand Action to discuss gun safety reforms for upcoming 116th Congress. We CAN act to prevent gun violence in America! https://t.co/PS8z2yi5r8,democrats,RepDarrenSoto
60,Sun Dec 02 23:34:40 +0000 2018,We wish our constituents a #HappyHanukkah and hope it is a joyous one for you and your families! https://t.co/1vBYKy67O7,democrats,RepDarrenSoto
61,Sun Dec 02 15:57:33 +0000 2018,"RT @Scott_Maxwell: It's easy to talk about bipartisanship, yet hard to actually implement - because it usually means someone has to give up…",democrats,RepDarrenSoto
62,Sun Dec 02 03:52:24 +0000 2018,Congrats to @UCF_Football on a great game and winning back-to-Back AAC Championships! https://t.co/T3kKjASFMC,democrats,RepDarrenSoto
63,Sat Dec 01 17:04:39 +0000 2018,"Rest In Peace President George H. W. Bush. Thank you for your service to our country and for signing these key initiatives into law:

Americans w Disabilities Act of 1990
Civil Rights Act of 1991
Clean Air Act (Reauthorization)
Immigration Act of 1990 https://t.co/ZvrVvrMP5s",democrats,RepDarrenSoto
64,Sat Dec 01 16:06:30 +0000 2018,Nuestro futuro es brillante ✨ https://t.co/eoagf5cIEi,democrats,RepDarrenSoto
65,Fri Nov 30 13:24:26 +0000 2018,"Congrats to the new leaders of the House Democratic Majority — @NancyPelosi, @WhipHoyer, @Clyburn,@repbenraylujan, @RepJeffries!  Together, we will fight to improve the lives of all Americans &amp; bring balance back to Washington. https://t.co/7GALXmhSoE",democrats,RepDarrenSoto
66,Thu Nov 29 18:12:09 +0000 2018,"On this #NetNeutrality Day of Action, we are building momentum in a final push to restore #NetNeutrality rules. We must ACT NOW to force a vote on the House Floor to restore the free and open internet! https://t.co/tkYkvwSxft",democrats,RepDarrenSoto
67,Thu Nov 29 16:21:18 +0000 2018,"Congrats to my dear friend @ChefJoseAndres for his #NobelPeacePrize nomination for helping to provide food to thousands of natural disaster victims, from Puerto Rico to California and all over the world. A fitting honor for a great servant leader! https://t.co/h8lxG1W6bi",democrats,RepDarrenSoto
68,Thu Nov 29 01:17:45 +0000 2018,"RT @SamanthaJoRoth: House Democrats, who will take control of the chamber next year, met behind closed doors to nominate members of their l…",democrats,RepDarrenSoto
69,Wed Nov 28 22:21:34 +0000 2018,"RT @HispanicCaucus: The integrity of the #2020Census must be protected! That’s why the @HispanicCaucus,  @RepDarrenSoto raised concerns fol…",democrats,RepDarrenSoto
70,Wed Nov 28 20:19:39 +0000 2018,RT @CHeathWFTV: Statement from @RepDarrenSoto https://t.co/k8HGGzjOmE,democrats,RepDarrenSoto
