AllPunc,Apostro,Colon,Comma,Dash,Exclam,OtherP,Parenth,Period,QMark,Quote,SemiC,achieve,adj,adverb,affect,affiliation,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogproc,compare,conj,death,differ,discrep,drives,family,feel,female,filler,focusfuture,focuspast,focuspresent,friend,function,health,hear,home,i,informal,ingest,insight,interrog,ipron,leisure,male,money,motion,name,negate,negemo,netspeak,nonflu,number,party,percept,posemo,power,ppron,prep,pronoun,quant,relativ,relig,reward,risk,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
0.07546811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07546811,0.0,0.0,0.0,0.02946488,0.04030035,0.023571903,0.067674175,0.046478473,0.004372208,0.001520768,0.05807433,0.000855432,0.051040776,0.013211672,0.001996008,0.010550328,0.013021576,0.06292178,0.015682919,0.035738047,0.001235624,0.0142572,0.0095048,0.12764946,0.005417736,0.001520768,0.003611824,0.0,0.007984032,0.025567912,0.07765421,0.003611824,0.39321357,0.007698888,0.004942496,0.006463264,0.020530367,0.003421728,0.002566296,0.012546336,0.010075088,0.030700503,0.012926528,0.006748408,0.011976048,0.014827488,Call_Me_Dutch,0.00807908,0.015017584,0.0014257199,0.000760384,0.01520768,democrats,0.01378196,0.051706113,0.046288375,0.061020814,0.1447581,0.09172132,0.01710864,0.12223173,0.003136584,0.015777968,0.0095048,0.00380192,0.00617812,0.000380192,0.005132592,0.10008554,0.065868266,0.000190096,0.009789944,0.008649368,0.0451478,0.10825967,0.018914552,0.06083072,0.007793936
0.09515829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09515829,0.0,0.0,0.0,0.018435754,0.04292365,0.03566108,0.059683427,0.032588456,0.012290503,0.0017690875,0.06806331,0.0012104283,0.06675978,0.010800745,0.0026070764,0.015176909,0.012476723,0.08091248,0.019366853,0.04273743,0.008193669,0.018249534,0.0126629425,0.1122905,0.0031657356,0.0027001863,0.0027001863,0.0,0.012011173,0.02802607,0.09506518,0.0024208566,0.450838,0.0054003727,0.0040968345,0.0039106146,0.013594041,0.005679702,0.0017690875,0.016852885,0.013594041,0.04310987,0.005679702,0.008100559,0.0106145255,0.022718808,ChrisMurphyCT,0.01433892,0.026722532,0.0019553073,0.0009310987,0.024394786,democrats,0.01443203,0.032681566,0.048882682,0.059683427,0.14748603,0.1027933,0.016573558,0.15493482,0.0024208566,0.015642459,0.008379889,0.003445065,0.00698324,0.0002793296,0.008007449,0.09171322,0.07942272,0.0012104283,0.015921788,0.009124767,0.05512104,0.13640596,0.017504655,0.03426443,0.011452514
0.078366555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078366555,0.0,0.0,0.0,0.021195916,0.034516286,0.019251337,0.056392804,0.042002916,0.0046669906,0.0022362664,0.056198347,0.0008750608,0.049878463,0.012931454,0.0014584346,0.011278561,0.010986874,0.061545942,0.0144871175,0.027904715,0.0016528926,0.013417599,0.013125911,0.1137579,0.004472533,0.0016528926,0.003403014,0.0,0.012931454,0.018765192,0.076227516,0.0049586776,0.37034518,0.008458921,0.009333981,0.007097715,0.020709772,0.004472533,0.0025279534,0.01332037,0.0057365093,0.022168206,0.009917355,0.0046669906,0.020320855,0.01604278,Clyburn,0.00758386,0.019445796,0.0029168692,0.00048614488,0.033738453,democrats,0.019348565,0.036558095,0.040350024,0.057073407,0.1439961,0.07924161,0.013806514,0.12756442,0.003889159,0.009917355,0.012834225,0.00379193,0.007097715,0.00019445794,0.0052503645,0.08371415,0.065337874,0.00019445794,0.007875547,0.0060281963,0.04812834,0.10452115,0.018765192,0.04482256,0.0063198833
0.09029426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09029426,0.0,0.0,0.0,0.023611771,0.03476507,0.019814903,0.059919316,0.03144281,0.0036782154,0.0011865211,0.071072616,0.001067869,0.05232558,0.01293308,0.0016611295,0.012102515,0.011271951,0.05564784,0.015543426,0.028595159,0.0011865211,0.009966778,0.010085429,0.10536308,0.00391552,0.0017797817,0.0026103465,0.0,0.012102515,0.021594685,0.08626009,0.0015424774,0.3917893,0.005932606,0.0077123875,0.008068344,0.01625534,0.0036782154,0.0048647365,0.011390603,0.0077123875,0.030256288,0.009729473,0.0056953016,0.015424775,0.017679164,ConawayTX11,0.0060512577,0.012102515,0.0023730423,0.00011865211,0.018509729,republicans,0.018747034,0.047460847,0.03998576,0.051376365,0.14807783,0.08163265,0.013763645,0.13834836,0.005220693,0.0168486,0.007475083,0.0041528237,0.008068344,0.0,0.0045087803,0.07961557,0.0758187,0.0,0.008068344,0.0045087803,0.048766017,0.116160415,0.014831514,0.056597058,0.011271951
0.08806522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08806522,0.0,0.0,0.0,0.03033463,0.04578633,0.01592568,0.07365627,0.045975924,0.0036022372,0.0010427529,0.07005403,0.00037918286,0.05422315,0.012039056,0.0018011186,0.010901507,0.008057636,0.044838373,0.016968433,0.033368092,0.0016115272,0.0057825386,0.006351313,0.12513034,0.003033463,0.0025594842,0.006066926,0.0,0.011375486,0.02256138,0.07868044,0.0025594842,0.4066736,0.005877334,0.0037918286,0.0052137645,0.013176604,0.0038866242,0.0034126458,0.010332733,0.006920087,0.033273295,0.009858754,0.006730496,0.016684046,0.019148735,CongMikeSimpson,0.0021803014,0.009195184,0.0020855058,0.0014219357,0.021139445,republicans,0.016873637,0.06446109,0.04474358,0.06104844,0.14835529,0.094321735,0.013650583,0.13451512,0.0024646886,0.019338327,0.0043606027,0.0027490756,0.009858754,0.00047397858,0.008057636,0.096217655,0.0708124,0.0,0.00729927,0.00530856,0.04976775,0.1061712,0.024172908,0.06057446,0.010332733
0.05134535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05134535,0.0,0.0,0.0,0.026413232,0.036781043,0.01974821,0.06430511,0.034312516,0.0033325106,0.0007405579,0.0633177,0.0013576895,0.05332017,0.013453469,0.001974821,0.012342632,0.008763269,0.053196743,0.010120958,0.022957295,0.0011108369,0.009256974,0.009874105,0.133177,0.0025919527,0.0022216737,0.0008639842,0.0,0.01308319,0.02147618,0.08726241,0.0014811158,0.3991607,0.008886695,0.010244384,0.007405579,0.016909406,0.006665021,0.0008639842,0.013576895,0.0093804,0.031226858,0.009627253,0.0023451,0.016168848,0.019995064,CongressmanDan,0.004319921,0.008886695,0.004566774,0.0007405579,0.012589484,republicans,0.022833869,0.055171564,0.060602322,0.055788696,0.16279931,0.087015554,0.012095779,0.16205876,0.0016045421,0.017896816,0.00839299,0.001974821,0.009997532,0.0014811158,0.0017279685,0.0844236,0.09047149,0.0,0.010984942,0.006294742,0.05566527,0.11774871,0.01678598,0.056776106,0.0140706
0.071086414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071086414,0.0,0.0,0.0,0.029507568,0.030753018,0.01187967,0.057003256,0.03132784,0.0018202721,0.0012454493,0.06418854,0.00047901896,0.028932746,0.0126461005,0.0011496455,0.009771987,0.008143323,0.04426135,0.014274766,0.026920866,0.0022034873,0.0068978732,0.005077601,0.1135275,0.004311171,0.00086223416,0.0020118796,0.0,0.0072810883,0.013412531,0.057769686,0.0024908986,0.35524046,0.0071852845,0.0068978732,0.010346809,0.009388772,0.0033531329,0.003736348,0.011400651,0.005652424,0.027687296,0.0077601075,0.004598582,0.013412531,0.014466373,CongressmanGT,0.0028741139,0.008813949,0.0021076836,0.00038321517,0.021651657,republicans,0.012837708,0.04818931,0.053171106,0.035734814,0.16861467,0.06342211,0.011496455,0.14801686,0.0039279554,0.013220924,0.005077601,0.002299291,0.004023759,0.00057482277,0.0039279554,0.07396053,0.08890592,9.580379e-05,0.005652424,0.0045027784,0.047135465,0.07233186,0.009771987,0.07980456,0.008143323
0.062310893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310893,0.0,0.0,0.0,0.033472013,0.04510212,0.019761724,0.06807867,0.046993192,0.003971256,0.0011346445,0.06590393,0.00047276853,0.047371406,0.0104954615,0.0018910741,0.010117247,0.01248109,0.05380106,0.019194402,0.037726928,0.0013237519,0.0075642965,0.007753404,0.12821482,0.0056732222,0.0017965204,0.0018910741,0.0,0.013615734,0.017208776,0.07507564,0.0028366111,0.42000756,0.0053895614,0.0052950075,0.004538578,0.02496218,0.0014183056,0.0017965204,0.0135211805,0.0075642965,0.029217096,0.008793495,0.0047276854,0.0104954615,0.01683056,CongressmanHice,0.0033093798,0.01248109,0.00056732225,0.0003782148,0.015601361,republicans,0.0135211805,0.055503026,0.045480333,0.07034796,0.16631997,0.09956505,0.0204236,0.15071861,0.006051437,0.013899395,0.0089826025,0.0033093798,0.0056732222,0.0013237519,0.003971256,0.100416034,0.07876324,0.0,0.009171709,0.0046331314,0.059474282,0.10098336,0.023071105,0.06599849,0.013710287
0.072163954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072163954,0.0,0.0,0.0,0.019532377,0.04358703,0.030116424,0.056576543,0.029346677,0.009140768,0.0046184934,0.07466564,0.0005773117,0.06167613,0.00962186,0.0020205907,0.011353795,0.016164726,0.08880977,0.021168094,0.053593766,0.0033676513,0.02347734,0.015972288,0.114981234,0.0035600886,0.0021168094,0.0030789955,0.0,0.008948331,0.025209276,0.08005388,0.0025016838,0.45877033,0.0040411814,0.0052920235,0.006446647,0.017415568,0.0033676513,0.0014432791,0.017030694,0.010584047,0.047628213,0.0055806795,0.009910516,0.011161359,0.013374386,CongressmanRaja,0.012700857,0.023188684,0.0019243722,0.0006735303,0.011546233,democrats,0.013663042,0.033002984,0.057923604,0.05744251,0.15221784,0.10507072,0.017608006,0.115943424,0.0030789955,0.00760127,0.009718079,0.0037525257,0.005869335,0.0015394978,0.00962186,0.08813625,0.05811604,0.00038487444,0.017896662,0.0056768977,0.045318965,0.11575098,0.014625229,0.06687193,0.010102954
0.06328267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06328267,0.0,0.0,0.0,0.026288118,0.037663702,0.022846764,0.06385623,0.04693624,0.006213555,0.0035369468,0.0586942,0.00028677945,0.05573081,0.023802696,0.0025810152,0.012140331,0.013478635,0.06538572,0.01730236,0.043494884,0.0017206768,0.012140331,0.013574228,0.13612466,0.005544403,0.0046840645,0.0028677946,0.0,0.013287448,0.017971514,0.095879935,0.002389829,0.41449192,0.019118631,0.006022369,0.008029825,0.021412866,0.0016250836,0.0015294905,0.016442023,0.009750502,0.028582353,0.011279993,0.0031545742,0.023133544,0.017015582,CongressmanRuiz,0.006691521,0.021126088,0.001242711,0.00019118631,0.021126088,democrats,0.01691999,0.042252176,0.050568778,0.067106396,0.14673549,0.095688745,0.015294905,0.13593347,0.0018162699,0.012235924,0.015199312,0.0042060986,0.00544881,0.00066915207,0.003058981,0.100181624,0.06815792,0.0,0.010132874,0.009654908,0.05248064,0.120160595,0.022177612,0.05487047,0.010802027
